List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$2,098,000",972 Sqft,$572,NaN,2,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,Upper Unit,,"Air Conditioning, Central Location, Lane Access, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3956163/2305-889-pacific-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$799,000",593 Sqft,$299,"$1,672",1,1,Apt/Condo,2016 (6 yrs old),Freehold Strata,Other,"Garage Door Opener, Smoke Alarm, Sprinkler - Fire","Central Location, Golf Course Nearby, Lane Access, Recreation Nearby, Retirement Community, Shopping Nearby","Freezer, Washer/Dryer/Fridge/Stove/Dishwasher",Southlands,https://www.rew.ca//properties/3955291/205-5555-dunbar-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,939,900",1044 Sqft,$668,NaN,2,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,1 Storey,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3953385/3104-889-pacific-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,788,000",1059 Sqft,$620,NaN,2,2,Apt/Condo,2025 (-3 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby","Dishwasher, Microwave, Range Top, Stove, Washer/Dryer/Fridge/Stove/Dishwasher",Oakridge,https://www.rew.ca//properties/3954207/1306-485-w-42nd-avenue-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$988,000",733 Sqft,$393,"$2,320",1,1,Apt/Condo,2011 (11 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Garage Door Opener, Security System, Smoke Alarm, Sprinkler - Fire, Windows - Storm, Windows - Thermo","Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby","Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Downtown West,https://www.rew.ca//properties/3954126/2806-833-seymour-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$3,368,800",1087 Sqft,"$1,032",NaN,2,2,Apt/Condo,2027 (-5 yrs old),Freehold Strata,,"Drapes/window Coverings, Oven - Built In","Air Conditioning, Marina Nearby, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Range Top, Refrigerator",West End,https://www.rew.ca//properties/3954639/3105-1515-alberni-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,261,800",560 Sqft,$531,NaN,1,1,Apt/Condo,2027 (-5 yrs old),Freehold Strata,Inside Unit,"Drapes/window Coverings, Oven - Built In","Air Conditioning, Marina Nearby, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Range Top, Refrigerator",West End,https://www.rew.ca//properties/3954638/2505-1515-alberni-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,389,800",1087 Sqft,"$1,032",NaN,2,2,Apt/Condo,2027 (-5 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Oven - Built In","Air Conditioning, Marina Nearby, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Range Top, Refrigerator",West End,https://www.rew.ca//properties/3954637/1806-1515-alberni-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$788,800",667 Sqft,$375,"$4,916",1,1,Apt/Condo,2012 (10 yrs old),Freehold Strata,Inside Unit,Drapes/window Coverings,"Central Location, Lane Access, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3954215/501-2507-maple-street-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$979,900",920 Sqft,$551,"$2,630",2,2,Apt/Condo,2019 (3 yrs old),Freehold Strata,"Corner Unit,Other",,"Central Location, Lane Access, Paved Road, Recreation Nearby, Shopping Nearby","Disposal - Waste, Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",Mount Pleasant East,https://www.rew.ca//properties/3952297/201-630-e-broadway-vancouver-bc?direction=desc&page=2&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
