List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Features,Amenities,Appliances,Neighborhood,Link
"$1,299,000",1078 Sqft,$557,"$3,475",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,"End Unit,Upper Unit","Drapes/window Coverings, Intercom, Smoke Alarm","Central Location, Gated Complex, Lane Access, Marina Nearby, Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Microwave, Refrigerator, Stove",Yaletown,https://www.rew.ca//properties/3958010/2101-1155-homer-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,228,000",1253 Sqft,$875,"$4,018",2,2,Apt/Condo,1997 (25 yrs old),Freehold Strata,"Inside Unit,Upper Unit",,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Coal Harbour,https://www.rew.ca//properties/3958361/705-1790-bayshore-drive-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$699,000",687 Sqft,$322,"$1,777",1,1,Apt/Condo,2006 (16 yrs old),Freehold Strata,Inside Unit,,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,False Creek,https://www.rew.ca//properties/3957822/310-2055-yukon-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$799,900",707 Sqft,$381,"$2,250",1,1,Apt/Condo,2011 (11 yrs old),Freehold Strata,1 Storey,,"Central Location, Gravel Road, Recreation Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Downtown West,https://www.rew.ca//properties/3957748/2205-833-seymour-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$899,000",846 Sqft,$507,"$2,259",2,2,Apt/Condo,1998 (24 yrs old),Freehold Strata,1 Storey,Drapes/window Coverings,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Kitsilano,https://www.rew.ca//properties/3957423/704-1818-w-6th-avenue-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$422,900",963 Sqft,$442,$769,2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,Inside Unit,Drapes/window Coverings,"Central Location, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,Renfrew Heights,https://www.rew.ca//properties/3956637/204-2468-e-broadway-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$999,900",745 Sqft,$387,NaN,1,1,Apt/Condo,2022 (0 yrs old),Freehold Strata,,"Drapes/window Coverings, Oven - Built In, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Lane Access, Paved Road, Recreation Nearby, Shopping Nearby, Treed","Clothes Washer/Dryer, Dishwasher, Range Top, Refrigerator",Kitsilano,https://www.rew.ca//properties/3956618/206-2485-larch-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,699,900",1524 Sqft,$808,$0,3,3,Apt/Condo,2022 (0 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Drapes/window Coverings, Oven - Built In, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Lane Access, Paved Road, Recreation Nearby, Shopping Nearby, Treed","Clothes Washer/Dryer, Dishwasher, Range Top, Refrigerator",Kitsilano,https://www.rew.ca//properties/3956540/405-2485-larch-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,229,900",1349 Sqft,$722,$0,2,2,Apt/Condo,2022 (0 yrs old),Freehold Strata,"Corner Unit,Upper Unit","Drapes/window Coverings, Oven - Built In, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Central Location, Lane Access, Paved Road, Recreation Nearby, Shopping Nearby, Treed","Clothes Washer/Dryer, Dishwasher, Range Top, Refrigerator",Kitsilano,https://www.rew.ca//properties/3956535/303-2485-larch-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,519,900",1173 Sqft,$818,"$3,896",2,2,Apt/Condo,2007 (15 yrs old),Freehold Strata,Corner Unit,"Drapes/window Coverings, Fireplace Insert, Oven - Built In, Security System","Marina Nearby, Recreation Nearby, Shopping Nearby, Ski Hill Nearby","Clothes Washer/Dryer, Compactor - Garbage, Dishwasher, Microwave, Range Top, Refrigerator",Coal Harbour,https://www.rew.ca//properties/3953040/1801-1189-melville-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$970,000",986 Sqft,$742,"$2,388",2,2,Apt/Condo,1988 (34 yrs old),Freehold Strata,1 Storey,,Central Location,Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/3956312/1403-1060-alberni-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$829,900",908 Sqft,$630,"$1,926",2,2,Apt/Condo,1990 (32 yrs old),Freehold Strata,"1 Storey,Upper Unit",,,,West End,https://www.rew.ca//properties/3956305/201-1771-nelson-street-vancouver-bc?direction=desc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
