List Price,Total Square Feet,Maintenance Fees,Gross Tax,Bedrooms,Bathrooms,Property Type,Year Built,Title,Style,Amenities,Appliances,Neighborhood,Link
"$2,099,999",788 Sqft,$437,$0,1,1,Apt/Condo,2022 (0 yrs old),Freehold Strata,Upper Unit,"Air Conditioning, Central Location",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/R2312605/1005-1550-alberni-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,749,888",723 Sqft,$457,$0,0,1,Apt/Condo,2022 (0 yrs old),Freehold Strata,Upper Unit,"Air Conditioning, Central Location, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/R2312567/402-1550-alberni-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$2,899,000",1335 Sqft,$496,$0,3,2,Apt/Condo,2019 (3 yrs old),Leasehold not prepaid-NonStrata,"Corner Unit,End Unit,Upper Unit","Golf Course Nearby, Greenbelt, Recreation Nearby, Shopping Nearby","Clothes Dryer, Clothes Washer, Dishwasher, Microwave, Refrigerator, Stove",University (UBC),https://www.rew.ca//properties/R2377913/1808-3487-binning-road-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,799,000",670 Sqft,$423,$0,1,1,Apt/Condo,2022 (0 yrs old),Freehold Strata,Other,Air Conditioning,Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/R2422318/1102-1550-alberni-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$4,352,888",1347 Sqft,$853,$0,2,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,Other,Air Conditioning,Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/R2422507/1402-1550-alberni-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,259,900",935 Sqft,$461,"$2,646",3,2,Apt/Condo,2014 (8 yrs old),Freehold Strata,1 Storey,"Air Conditioning, Recreation Nearby, Shopping Nearby","Clothes Dryer, Clothes Washer, Compactor - Garbage, Dishwasher, Microwave, Refrigerator, Stove",Southwest Marine,https://www.rew.ca//properties/2712566/501-8488-cornish-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,690,000",858 Sqft,$627,"$5,219",1,2,Apt/Condo,2016 (6 yrs old),Freehold Strata,1 Storey,NaN,NaN,Coal Harbour,https://www.rew.ca//properties/2762081/5901-1151-w-georgia-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$1,399,900",1175 Sqft,$598,"$2,869",2,2,Apt/Condo,1994 (28 yrs old),Freehold Strata,5 Plus Level,"Private Setting, Shopping Nearby, Treed",Washer/Dryer/Fridge/Stove/Dishwasher,Yaletown,https://www.rew.ca//properties/2816271/602-283-davie-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$5,498,000",1422 Sqft,NaN,$0,2,2,Apt/Condo,2021 (1 yrs old),Freehold Strata,Upper Unit,"Air Conditioning, Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,West End,https://www.rew.ca//properties/2952014/3402-1550-alberni-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
"$409,000",590 Sqft,$604,$0,1,1,Apt/Condo,1968 (54 yrs old),Leasehold prepaid-NonStrata,1 Storey,"Central Location, Recreation Nearby, Shopping Nearby","Refrigerator, Stove",West End,https://www.rew.ca//properties/3067593/1008-1850-comox-street-vancouver-bc?direction=asc&page=1&search_params%5Bproperty_type%5D=apartment_condo&search_params%5Bquery%5D=Vancouver%2C+BC&searchable_id=361&searchable_type=Geography&sort=latest
